,Common Name,Scientific Name,Sow Start,Sow End,Seed Start,Seed End ,Harvest Start,Harvest End
Herbs,Basil,Ocimum basilicum,,,,,,
Herbs,Chives,Allium schoenoprasum,,,,,,
Herbs,Mint,Mentha,,,,,,
Herbs,Oregano,Origanum vulgare,,,,,,
Herbs,Rosemary,Salvia rosmarinus,,,,,,
Herbs,Thyme,Thymus vulgaris,,,,,,
Herbs,Hyssop,Hyssopus officinalis,,,,,,
Herbs,Juniper,Juniperus,,,,,,
Herbs,Turkestan Rose,Rosa rugosa,,,,,,
Herbs,Caraway,Carum,,,,,,
Herbs,Catnip,Nepeta cataria,,,,,,
Herbs,English chamomile,Chamaemelum nobile,,,,,,
Herbs,French sorrel,Rumex scutatus,,,,,,
Herbs,Garlic,Allium sativum,,,,,,
Herbs,Horseradish,Armoracia rusticana,,,,,,
Herbs,Parsley,Petroselinum crispum,,,,,,
Herbs,Peppermint,Mentha × piperita,,,,,,
Herbs,Angelica,Angelica archangelica,,,,,,
Herbs,Bee balm,Monarda,,,,,,
Herbs,Garden sage,Salvia officinalis,,,,,,
Herbs,Lemon balm,Melissa officinalis,,,,,,
Herbs,Mountain mint,Pycnanthemum,,,,,,
Herbs,Lemon thyme,Thymus citriodorus,,,,,,
Herbs,Winter savory,Satureja montana,,,,,,
Herbs,Spearmint,Mentha spicata,,,,,,
Herbs,Large-flowered calamint,Calamintha grandiflora,,,,,,
Herbs,Lavender,Lavandula,,,,,,
Herbs,Borage,Borago officinalis,,,,,,
Herbs,Coriander,Coriandrum sativum,,,,,,
Herbs,Dill,Anethum graveolens,,,,,,
Herbs,False chamomile,Matricaria perforata,,,,,,
Herbs,Curry leaf,Murraya koenigii,,,,,,
Herbs,Feverfew,Tanacetum parthenium,,,,,,
Herbs,Galangal,Alpinia galanga,,,,,,
Herbs,Rue,Ruta graveolens,,,,,,
Herbs,Sage,Salvia officinalis,,,,,,
Herbs,Tarragon,Artemisia dracunculus,,,,,,
Herbs,Bay laurel,Laurus nobilis,,,,,,
Herbs,Marjoram,Origanum majorana,,,,,,
Herbs,Mexican oregano,Lippia graveolens,,,,,,
Herbs,Ginger,Zingiber officinale,,,,,,
Herbs,Mexican tarragon,Tagetes lucida,,,,,,
Herbs,Miracle fruit,Synsepalum dulcificum,,,,,,
Herbs,Lemongrass,Cymbopogon,,,,,,
Herbs,Savory,Satureja hortensis,,,,,,
Herbs,Cilantro,Coriandrum sativum,,,,,,
Herbs,Culantro,Eryngium foetidum,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Herbs,,,,,,,,
Vegetables,Beans,Phaseolus vulgaris,,,,,,
Vegetables,Broccoli,Brassica oleracea var. italica,,,,,,
Vegetables,Cabbage,Brassica oleracea var. capitata,,,,,,
Vegetables,Kale,Brassica oleracea var. sabellica,,,,,,
Vegetables,Lettuce,Lactuca sativa,,,,,,
Vegetables,Potatoes,Solanum tuberosum,,,,,,
Vegetables,Radish,Raphanus sativus,,,,,,
Vegetables,Spinach,Spinacia oleracea,,,,,,
Vegetables,Sweet Peas,Lathyrus odoratus,,,,,,
Vegetables,Tomatoes,Solanum lycopersicum,,,,,,
Vegetables,Carrots,Daucus carota subsp. sativus,,,,,,
Vegetables,Mustard greens,Brassica juncea,,,,,,
Vegetables,Onions,Allium cepa ,,,,,,
Vegetables,Parsnips,Pastinaca sativa,,,,,,
Vegetables,Swiss chard,Beta vulgaris subsp. vulgaris var. vulgaris,,,,,,
Vegetables,Asparagus,Asparagus officinalis,,,,,,
Vegetables,Celery,Apium graveolens,,,,,,
Vegetables,Cucumbers,Cucumis sativus,,,,,,
Vegetables,Summer squash,Cucurbita pepo,,,,,,
Vegetables,Winter squash,Cucurbita maxima,,,,,,
Vegetables,Eggplant,Solanum melongena,,,,,,
Vegetables,Melons,Cucumis melo,,,,,,
Vegetables,Okra,Abelmoschus esculentus,,,,,,
Vegetables,Pumpkins,Cucurbita,,,,,,
Vegetables,Winter greens,Gaultheria procumbens,,,,,,
Vegetables,Bush beans,Phaseolus vulgaris,,,,,,
Vegetables,Butter lettuce,Lactuca sativa,,,,,,
Vegetables,Indeterminate tomatoes,,,,,,,
Vegetables,Longer season melons,,,,,,,
Vegetables,Arugula,,,,,,,
Vegetables,Hot peppers,,,,,,,
Vegetables,Long growing season vegetables,,,,,,,
Vegetables,Sweet peppers,,,,,,,
Vegetables,Turnips,,,,,,,
Vegetables,Bolt resistant lettuce varieties,,,,,,,
Vegetables,Cantaloupe,,,,,,,
Vegetables,Field peas,,,,,,,
Vegetables,Okra,Abelmoschus esculentus,,,,,,
Vegetables,Watermelon,,,,,,,
Vegetables,Brussel sprouts,,,,,,,
Vegetables,Cauliflower,,,,,,,
Vegetables,Greens,,,,,,,
Vegetables,Bitter melon,,,,,,,
Vegetables,Jicama,,,,,,,
Vegetables,Peanuts,,,,,,,
Vegetables,Malabar spinach,,,,,,,
Vegetables,Tomatillos,,,,,,,
Vegetables,Beets,,,,,,,
Vegetables,Summer squashes,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Vegetables,,,,,,,,
Fruit,Chokecherry,Prunus virginiana,,,,,,
Fruit,Apple,Malus domestica,,,,,,
Fruit,Haskap,Lonicera caerulea,,,,,,
Fruit,September Ruby apple,Malus sp. Rescue x Malus sp. Haralson,,,,,,
Fruit,Brookgold plum,Prunus nigra,,,,,,
Fruit,Fall Red apple,Malus,,,,,,
Fruit,Fofonoff plum,Prunus salicina,,,,,,
Fruit,Korean pine,Pinus koraiensis,,,,,,
Fruit,Minnesota 1734 apple,Malus sp. Minnesota 1734,,,,,,
Fruit,Norkent apple,Malus 'Norkent,,,,,,
Fruit,Parkland apple,Malus sp. Melba x Malus sp. Rescue,,,,,,
Fruit,Pembina plum,Prunus nigra x salicina,,,,,,
Fruit,Cupid cherry,Prunus x cerasus 'Cupid',,,,,,
Fruit,Dolgo crabapple,Malus 'Dolgo,,,,,,
Fruit,Early Gold pear,Pyrus ussuriensis,,,,,,
Fruit,Evans cherry,Prunus cerasus,,,,,,
Fruit,Golden Spice pear,Pyrus,,,,,,
Fruit,Goodland apple,Malus pumila,,,,,,
Fruit,Waneta plum,Prunus americana,,,,,,
